time_s,radius_m,pressure_Pa,damage,tension_Npm
0.0,5.0e-5,0.0,0.0,0.0
0.03,5.003324729612329e-5,0.2647804084997325,0.16932236877742826,6.623864909470163e-6
0.06,5.0077553924347466e-5,0.5140413339959825,0.3074245443586435,1.2870913203232672e-5
0.09,5.013409941404078e-5,0.7426057376428499,0.4200621556454158,1.8614758095121873e-5
0.12,5.020397265670884e-5,0.9479692237876319,0.5119298997262715,2.379576748669422e-5
0.15,5.028809172398512e-5,1.1295750978744055,0.586857104942304,2.8402197276115315e-5
0.18,5.038708517350819e-5,1.2881784846523574,0.64796722347164,3.245340412158293e-5
0.21,5.050120431752845e-5,1.4253393592927985,0.6978079181915784,3.599082457707016e-5
0.24,5.063011067855974e-5,1.54304579573682,0.7384571927913408,3.9062019639776547e-5
0.27,5.0772847929018965e-5,1.6434507599215566,0.771609940704606,4.172103037050483e-5
0.3,5.092771291358237e-5,1.7286989464764797,0.7986485643738117,4.4019421576458686e-5
0.33,5.109224849085259e-5,1.800821043973721,0.8207005796112599,4.6003849007706396e-5
0.36,5.126340690871714e-5,1.8616758428170739,0.8386855971491806,4.771778924822972e-5
0.39,5.143767342249629e-5,1.9129246967106155,0.8533536545944296,4.9198033412347595e-5
0.42,5.1611360689134875e-5,1.9560269024959624,0.8653164760523432,5.0476450253488284e-5
0.45,5.178088645825374e-5,1.9922477396567582,0.8750729779977685,5.158004105460511e-5
0.48,5.1943048546177576e-5,2.022673528725619,0.8830300685893018,5.2531776648965594e-5
0.51,5.2095236751790354e-5,2.048229961024833,0.8895196137799055,5.3351352362024424e-5
0.54,5.223555836107478e-5,2.069701323119431,0.8948122764672813,5.405588683506629e-5
0.57,5.2362849074547946e-5,2.0877491732694664,0.8991288001430171,5.466001423323395e-5
0.6,5.247666585336872e-5,2.1029296862419455,0.902649216991033,5.51772650339948e-5
0.63,5.257712011962798e-5,2.1157092791604524,0.9055203561180002,5.5618969912602756e-5
0.66,5.266477564560874e-5,2.1264783782738568,0.9078619641815985,5.5995202363726445e-5
0.69,5.27405297052593e-5,2.1355634034517217,0.9097717070255654,5.631526369617177e-5
0.72,5.280546229126466e-5,2.143237027178721,0.911329235586066,5.658725312992839e-5
0.75,5.286072716690678e-5,2.149726925808924,0.9125995088674445,5.681806475416717e-5
0.78,5.29074838713549e-5,2.1552231829414024,0.9136355045350377,5.701367705229339e-5
0.81,5.294685934029205e-5,2.1598845388882033,0.9144804353094084,5.717952421678379e-5
0.84,5.297988638726201e-5,2.1638435711005797,0.9151695363092848,5.7320077301222627e-5
0.87,5.30074983098238e-5,2.1672111003219934,0.9157315485108107,5.7439163623098926e-5
0.9,5.303053300993521e-5,2.1700798184099344,0.916189912502728,5.754024430742314e-5
0.93,5.304970337797303e-5,2.172527305635339,0.9165637409070507,5.76259394871053e-5
0.96,5.3065640699137144e-5,2.174618594455905,0.9168686286987712,5.76987624729003e-5
0.99,5.3078872264871974e-5,2.176408211697486,0.9171172862609153,5.7760635318539655e-5
1.02,5.308985235924037e-5,2.1779419830614186,0.9173200886345949,5.781330676775352e-5
1.05,5.309895854982125e-5,2.1792584142546114,0.9174854883511656,5.785816763509341e-5
1.08,5.310651106325852e-5,2.1803899593313534,0.9176203874201785,5.7896449909397826e-5
1.11,5.3112773827611034e-5,2.1813639578145074,0.9177304073242621,5.792913506090473e-5
1.14,5.3117970165185045e-5,2.182203521414319,0.9178201394418071,5.795710840838262e-5
1.17,5.312228207036186e-5,2.182928176111629,0.9178933229574853,5.7981057808535654e-5
1.2,5.312586292829858e-5,2.183554473337388,0.9179530108893099,5.800160476901371e-5
1.23,5.312883854548352e-5,2.184096453993071,0.9180016930460522,5.8019252453030616e-5
1.26,5.3131312953328186e-5,2.184566034087826,0.9180413968467984,5.803442751969753e-5
1.29,5.313337292853143e-5,2.184973372133978,0.9180737801634925,5.804750122795472e-5
1.32,5.3135089264412396e-5,2.1853271113689585,0.9181001916162648,5.805877419116309e-5
1.35,5.3136520962429365e-5,2.1856346363909824,0.9181217326905885,5.8068509175152007e-5
1.38,5.3137716682595034e-5,2.1859022659372447,0.9181393027383945,5.8076926912182036e-5
1.41,5.313871644201949e-5,2.186135397052882,0.9181536324223389,5.808421366913184e-5
1.44,5.31395534967629e-5,2.186338668597374,0.9181653199262266,5.809052951143486e-5
1.47,5.314025532261904e-5,2.186516065039616,0.9181748530568878,5.80960104764953e-5
1.5,5.314084453779742e-5,2.1866710064942847,0.9181826283698915,5.810077160547757e-5
1.53,5.31413399121179e-5,2.186806441304847,0.9181889698491864,5.8104911633982765e-5
1.56,5.314175707159121e-5,2.186924916231555,0.9181941423556998,5.810851596635763e-5
1.59,5.3142108903145955e-5,2.187028631270459,0.9181983618782491,5.8111656613673135e-5
1.62,5.314240603414313e-5,2.1871194780496888,0.918201802915227,5.811439542390116e-5
1.65,5.3142657405803e-5,2.187199106818069,0.9182046097516132,5.811678614716113e-5
1.68,5.314287040874673e-5,2.1872689437366812,0.918206899289306,5.811887483845316e-5
1.71,5.3143051195458404e-5,2.1873302283647162,0.9182087671235384,5.812070102500926e-5
1.74,5.3143204845923904e-5,2.187384030259483,0.9182102902814555,5.812229867293115e-5
